ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Strepsils Extra 24tab,’нѕбн…,1,,Џб»…,1,,,28.75200081,Tax 15%,0,Inclusive,40,0,5000158102903,0,,,0,
Strepsils Orange 24tab,’нѕбн…,1,,1,1,,,24.47999954,Tax 15%,0,Exclusive,34,0,5000167019360,0,,,0,
Strepsils H&Lemon 24tab,’нѕбн…,1,,1,1,,,24.47999954,Tax 15%,0,Inclusive,34,0,5000167019377,0,,,0,
Gentaplex 36cap,’нѕбн…,1,,Џб»…,1,,,154.9799957,Tax 15%,0,Exclusive,189,0,610644196016,0,,,0,
Pantozol 40mg 15 tab_New,’нѕбн…,1,,1,1,,,31.52000046,Tax 15%,0,Exclusive,49.25,0,0000005,0,,,0,
Duphaston 10mg 20tab,’нѕбн…,1,,Џб»…,1,,,44.08399963,Tax 15%,0,Exclusive,52.90000153,0,0000006,0,,,0,
Adol 500mg 20tab,’нѕбн…,1,,1,1,,,4.209000111,Tax 15%,0,Exclusive,5.050000191,0,6291100080069,0,,,0,
Pert Antidand. Sh. 200ml,’нѕбн…,2,,1,2,,,4.791999817,Tax 15%,15,Exclusive,7,0,5011321258723,0,,,0,
Fusibact-B Cream,’нѕбн…,1,,Џб»…,1,,,7.09499979,Tax 15%,0,Exclusive,12.89999962,0,6281269115320,0,,,0,
Fusibact oint,’нѕбн…,1,,Џб»…,1,,,8.965000153,Tax 15%,0,Exclusive,16.29999924,0,6281269096544,0,,,0,
Solpadeine 24cap,’нѕбн…,1,,Џб»…,1,,,10.95899963,Tax 15%,0,Exclusive,13.14999962,0,018653002111,0,,,0,
Zeta Oint,’нѕбн…,1,,Џб»…,1,,,9.376000404,Tax 15%,0,Exclusive,11.25,0,6281102230272,0,,,0,
Zetacort cream,’нѕбн…,1,,Џб»…,1,,,6.267000198,Tax 15%,0,Exclusive,9.399999619,0,6281102231675,0,,,0,
Derma-T 30ml Lotion,’нѕбн…,1,,Џб»…,1,,,12.84700012,Tax 15%,0,Exclusive,22.14999962,0,6281102230852,0,,,0,
